Component,Fault,Recommendation,Rating,Comments
Pipe lines,Pulsator Airline drains leaking,Service Drains,minor,
Pipe lines,Milkline inlets not in correct position,Reposition Milkline,Major,
Pipe lines,Milk Pump Probe Gland is leaking,replace this Gland,minor,
Pipe lines,Bubbles in Receiving Can,"Check for air leaks eg. Face plate seals, milk pump suction line, milk pump seal, nrv etc",Major,
Pipe lines,Main Airline leaks,tighted joins and check seals,minor,
Pipe lines,Leaks,Excessive leaks will impact on the reserve. Fix all leaks at ......... (name site of leaks),Major,
Pipe lines,Number of clusters on line > standard.,"If a problem is suspected measure the vacuum at the end of the milkline during milking, it should not drop more than 2kPa below receiver vacuum",Major,
Releaser,"Slow releaser speed, Herringbone",Speed up releaser speed,minor,
Releaser,"Fast releaser speed, Herringbone",Slow down releaser speed,Major,
Releaser,Failed Dead end test,Service pump seals and valves,Major,
Releaser,Problem with diaphragm milk pump intake line,Repair or replace as necessary,Major,
Releaser,Back plate missing,Missing backing plate will severely affect pump performance. Fit back plate to diaphragm on releaser milk pump.,Major,
Releaser,Inadequate motor size,Replace with XXXX kW motor size,Major / minor,Minor if motor not overloaded
Releaser,Centrifugal Slow,Speed up releaser speed,Major,
Releaser,Centrifugal fast,Slow down releaser speed,Major,
Releaser,Impeller rotating wrong way,Reverse rotation to correct direction,Major,
Releaser,Receiving Can Rubber Plug is perished,Replace this Rubber Plug,minor,
Releaser,Milk Pump Non Return Valve is upside down,correct this Non Return Valve,Major,
Releaser,"Milk Pump Non Return Valve is split, Perished or broken",Service or replace non-return valve,Major,
Releaser,Milk Pump is making a knocking noise,service this Milk Pump,Major,
Releaser,Milk Pump Oil Seals are leaking,service the Milk Pump,Major,
Releaser,Milk Pump Drain is leaking,service this Drain,minor,
Releaser,Milk Pump Non Return Valve Spring is broken,Replace Spring,minor,
Releaser,Milk Pump Mechanical Seal is leaking,replace this mechanical seal,Major,
Rubberware,Interceptor Drain Flap rubber is split and perished,replace Rubber Flap,minor,
Rubberware,Some Jetter Hoses are perished,replace these Hoses,minor,
Misc,Cup Remover at Bail XXXX doesn't work,service this Cup Remover,minor,
Misc,Cup Remover Ropes are frayed and broken,replace these Ropes,minor,
Misc,Automatic Cluster Remover consumption is too high,service these ACR's,minor,
Misc,Cup Remover Rams are hard to pull down or won't pull up,clean and lubricate the Cup Remover Rams,minor,
